open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-01-30 01:49:00,3.0995,3.0995,3.0995,3.0995,92.1,1738201799999,285.46395,1,0,0,0
2025-01-30 01:50:00,3.0995,3.0995,3.0995,3.0995,91.6,1738201859999,283.91420,1,0,0,0
2025-01-30 01:51:00,3.0996,3.0996,3.0995,3.0995,105.4,1738201919999,326.68891,2,16.1,49.90356,0
2025-01-30 01:52:00,3.0995,3.0995,3.0995,3.0995,7.7,1738201979999,23.86615,1,0,0,0
2025-01-30 01:53:00,3.0995,3.0996,3.0995,3.0996,96.6,1738202039999,299.41247,2,7.7,23.86692,0
2025-01-30 01:54:00,3.0995,3.0995,3.0995,3.0995,104.7,1738202099999,324.51765,2,0,0,0
2025-01-30 01:55:00,3.0995,3.0995,3.0995,3.0995,95.6,1738202159999,296.31220,1,0,0,0
2025-01-30 01:56:00,3.0996,3.0996,3.0995,3.0995,101.8,1738202219999,315.52987,2,7.7,23.86692,0
2025-01-30 01:57:00,3.0995,3.0995,3.0995,3.0995,101.1,1738202279999,313.35945,2,0,0,0
2025-01-30 01:58:00,3.0995,3.0996,3.0995,3.0996,107.7,1738202339999,333.81692,2,7.7,23.86692,0
2025-01-30 01:59:00,3.0995,3.0995,3.0995,3.0995,92.3,1738202399999,286.08385,1,0,0,0
2025-01-30 02:00:00,3.0995,3.0995,3.0995,3.0995,90.9,1738202459999,281.74455,1,0,0,0
2025-01-30 02:01:00,3.0995,3.0995,3.0995,3.0995,115.4,1738202519999,357.68230,2,0,0,0
2025-01-30 02:02:00,3.0995,3.0996,3.0995,3.0996,233.0,1738202579999,722.18430,2,8.0,24.79680,0
2025-01-30 02:03:00,3.0996,3.0996,3.0996,3.0996,0,1738202639999,0,0,0,0,0
2025-01-30 02:04:00,3.0995,3.0995,3.0995,3.0995,7.7,1738202699999,23.86615,1,0,0,0
2025-01-30 02:05:00,3.0995,3.0995,3.0987,3.0987,23583.4,1738202759999,73083.21326,8,0,0,0
2025-01-30 02:06:00,3.0996,3.1044,3.0996,3.1044,3979.3,1738202819999,12334.35828,3,3979.3,12334.35828,0
2025-01-30 02:07:00,3.0996,3.1011,3.0987,3.1011,32.7,1738202879999,101.39199,3,25.0,77.52750,0
2025-01-30 02:08:00,3.0987,3.0987,3.0987,3.0987,16215.7,1738202939999,50247.58959,1,0,0,0
2025-01-30 02:09:00,3.1016,3.1016,3.1016,3.1016,7.7,1738202999999,23.88232,1,7.7,23.88232,0
2025-01-30 02:10:00,3.1000,3.1016,3.0987,3.0987,67.3,1738203059999,208.62518,3,42.3,131.15768,0
2025-01-30 02:11:00,3.0987,3.0987,3.0987,3.0987,7.7,1738203119999,23.85999,1,0,0,0
2025-01-30 02:12:00,3.0987,3.0987,3.0987,3.0987,125.0,1738203179999,387.33750,2,0,0,0
2025-01-30 02:13:00,3.0992,3.0992,3.0992,3.0992,7.7,1738203239999,23.86384,1,7.7,23.86384,0
